,precision,recall,f1-score,support
T-shirt/top,0.815311004784689,0.852,0.8332518337408313,1000.0
Trouser,0.9918533604887984,0.974,0.9828456104944501,1000.0
Pullover,0.8577114427860697,0.862,0.8598503740648379,1000.0
Dress,0.9006342494714588,0.852,0.8756423432682425,1000.0
Coat,0.8336886993603412,0.782,0.8070175438596491,1000.0
Sandal,0.978021978021978,0.979,0.9785107446276862,1000.0
Shirt,0.6564885496183206,0.688,0.671875,1000.0
Sneaker,0.9426627793974732,0.97,0.9561360275998029,1000.0
Bag,0.9525193798449613,0.983,0.96751968503937,1000.0
Ankle boot,0.9774127310061602,0.952,0.9645390070921985,1000.0
accuracy,0.8894,0.8894,0.8894,0.8894
macro avg,0.890630417478025,0.8893999999999999,0.8897188169787069,10000.0
weighted avg,0.8906304174780251,0.8894,0.8897188169787068,10000.0
